Code,Description,ExplanatoryNote
10.3.0,"Enseñanza postsecundaria, no terciaria","- Nivel 4 de la CINE-97: enseñanza postsecundaria, no terciaria.

Incluye: enseñanza postsecundaria, no terciaria, extraescolar para adultos y jóvenes."
10.4.0,Enseñanza terciaria,- Niveles 5 y 6 de la CINE-97: primer y segundo ciclo de la enseñanza terciaria.
10.5.0,Enseñanza no atribuible a ningún nivel,"- Programas educativos, generalmente para adultos, que no requieren ninguna instrucción previa especial, en particular la capacitación profesional y el desarrollo cultural."
11.1.1,"Restaurantes, cafés y establecimientos similares","- Servicios de suministro de comidas por contrato (comidas, refrigerios, bebidas y refrescos) servidos por restaurantes, cafés, bufés, bares, salones de té, etcétera, incluidos los suministrados:
- En lugares que proporcionen servicios recreativos, culturales, deportivos o espectáculos: teatros, cines, estadios deportivos, piscinas, complejos deportivos, museos, galerías de arte, clubes nocturnos, salas de baile, etcétera;
- En medios de transporte público (autobuses, trenes, barcos, aviones, etcétera) cuando se pagan por separado;

Incluye asimismo:
- La venta de productos alimenticios y bebidas para el consumo inmediato en quioscos, puesto de vendedores ambulantes y lugares similares, incluidos los productos alimenticios y las bebidas que se venden listos para el consumo en máquinas automáticas;
- La venta de platos cocinados en restaurantes, para el consumo fuera de sus locales;
- La venta de platos cocinados por contratistas de servicios de suministros de comidas, ya se entreguen en el domicilio del cliente o sean recogidos personalmente por éste.

Incluye: las propinas."
11.1.2,Comedores,"- Servicios de suministro de comidas en comedores de empresas, oficinas y escuelas, universidades y otros centros de enseñanza.

Incluye: los comedores universitarios, los de tropa y de oficiales del ejército."
11.2.0,Servicios de alojamiento,"- Servicios de alojamiento en:
* Hoteles, pensiones, moteles, posadas y hostales;
* Poblados y centros de vacaciones, terrenos para camping y caravanas, albergues juveniles y chalés de montaña;
* Internados, universidades y otros centros docentes;
* Transporte público (trenes, barcos, etcétera) cuando se pagan los servicios por separado;
* Albergues para jóvenes trabajadores o inmigrantes.

Incluye: propinas y maleteros."
12.1.1,Salones de peluquería y establecimientos de cuidados personales,"- Salones de peluquería, barberías, salones de belleza, manicuras, pedicuros, baños turcos, saunas, solarios, masajes no terapéuticos, etcétera.

Incluye: cuidados corporales, depilación y servicios similares."
12.1.2,Aparatos eléctricos para el cuidado personal,"- Máquinas de afeitar y de cortar el pelo eléctricas, secadores de pelo de mano y de casco, tenazas para rizar el cabello y peines para marcar, lámparas ultravioletas, vibradores, cepillos de dientes eléctricos y otros aparatos eléctricos para la higiene dental, etcétera;
- Reparación de dichos aparatos."
12.1.3,"Otros aparatos, artículos y productos para la atención personal","- Aparatos no eléctricos: máquinas de afeitar y de cortar el pelo y cuchillas para las mismas, tijeras, limas de uñas, peines, brochas de afeitar, cepillos del pelo, cepillos de dientes, cepillos para las uñas, horquillas para el pelo, rizadores de pelo, balanzas personales y pesabebés, etcétera;
- Artículos para la higiene personal: jabón de tocador, jabón medicinal, aceite y leche limpiadores, jabón de afeitar, crema y espuma de afeitar, pasta de dientes, etcétera;
- Productos de belleza: barras de labios, barniz de las uñas, productos de maquillaje y de eliminación del mismo (incluidos los polvos de tocador compactos, los cepillos y las brochas para la aplicación de los polvos de tocador), lacas y lociones para el cabello, productos para antes y después del afeitado, bronceadores para el sol, depiladores, perfumes y agua de colonia, desodorantes personales, productos para el baño, etcétera;
- Otros productos: papel higiénico, pañuelos y toallas de papel, paños higiénicos, algodón, tapones de algodón, pañales, esponjas de baño, etcétera."
12.2.0,Prostitución,- Servicios facilitados por prostitutas y otros servicios.
12.3.1,"Joyería, relojes de pared y relojes de pulsera","- Piedras y metales preciosos y joyas fabricadas con dichas piedras y metales;
- Bisutería, gemelos y alfileres de corbata;
- Relojes de pared, relojes de pulsera, cronómetros, despertadores, relojes de viaje;
- Reparación de esos artículos."
12.3.2,Otros efectos personales,"- Artículos de viajes y otros artículos para el transporte de efectos personales: maletas, baúles, bolsas de viaje, maletines, carteras, bolsas, billeteras, bolsos, etcétera;
- Artículos para bebés: cochecitos de niño, sillitas, cestos, hamaquitas, cunas y asientos para el coche, portabebés delanteros y de espalda, correas y andadores, etcétera;
- Artículos para fumador: pipas, encendedores, pitilleras, cortapuros, etcétera;
- Artículos personales varios: gafas de sol, bastones, paraguas y sombrillas, abanicos, llaveros, etcétera;
- Artículos de funeraria: ataúdes, lápidas, urnas, etcétera;
- Reparación de dichos artículos.

Incluye: recargas de gas para encendedores, termómetros de pared y barómetros."
12.4.0,Protección social,"Estos servicios incluyen la atención en instituciones, la ayuda prestada en los propios hogares, guarderías y servicios de rehabilitación. De forma más específica, en este apartado se incluyen los pagos realizados por las familias para:
- Hogares de jubilación para las personas de edad avanzada, residencias para personas discapacitadas, centros de rehabilitación que proporcionen ayuda a pacientes durante períodos largos de tiempo más bien que asistencia sanitaria y terapia de rehabilitación, escuelas para personas incapacitadas donde el principal objetivo sea ayudar a los alumnos a superar su incapacidad;
- Ayudar a mantener en sus hogares a las personas de edad incapacitadas (servicios de limpieza del hogar, programas de comidas, guarderías, servicios de guarderías y de vacaciones);
- Nodrizas, casas cuna, hogares de recreo y otras instalaciones para el cuidado de los niños;
- Servicios consultivos, de orientación, arbitraje, servicios de acogida y adopción para las familias."
12.5.1,Seguro de vida,"- Los cargos por servicio correspondientes al seguro de vida, al seguro de prestación en caso de fallecimiento, al seguro de educación, etcétera."
12.5.2,Seguro relacionado con la vivienda,"- Cargos por servicio pagados por los propietarios ocupantes de una vivienda y por los inquilinos, correspondientes a los tipos de seguro que habitualmente suscriben los inquilinos, contra incendio, robo, daños provocados por el agua, etcétera."
12.5.3,Seguro relacionado con la salud,- Cargos por servicio correspondientes al seguro de enfermedad y accidentes.
12.5.4,Seguro relacionado con el transporte,"- Cargos por servicio correspondientes a seguros relacionados con el equipo de transporte personal;
- Cargos por servicio correspondientes al seguro de viaje y equipaje."
12.5.5,Otros seguros,- Cargos por servicio correspondientes a otros seguros como el de responsabilidad civil por lesiones o daños a terceros o a su propiedad.
12.6.1,SIFMI,- Servicios de intermediación financiera medidos indirectamente.
12.6.2,Otros servicios financieros n.e.p.,"- Costos reales de los servicios financieros de los bancos, oficinas de correo, cajas de ahorro, bancos de cambio de divisas e instituciones financieras similares;
- Honorarios y cargos por servicio de agentes, asesores de inversión, consultores fiscales y servicios similares;
- Costos administrativos de los fondos privados de pensiones y servicios similares."
12.7.0,Otros servicios n.e.p.,"- Honorarios por servicios de asesoramiento jurídico, agencias de contratación de personal, etcétera;
- Gastos en pompas fúnebres y en otros servicios de funerales;
- Pago por servicios de agentes inmobiliarios, de viviendas, subastadores, operadores de ventas y otros intermediarios;
- Pago por fotocopias y otras reproducciones de documentos;
- Honorarios por la emisión de certificados de nacimiento, matrimonio y muerte y otros documentos administrativos;
- Pago por noticias y anuncios en la prensa;
- Pago por los servicios de grafólogos, astrólogos, detectives privados, guardaespaldas, agencias matrimoniales y asesores de orientación matrimonial, escribanos, concesionarios varios (de asientos, retretes, guardarropas), etcétera."
13.1.0,Vivienda,"- Tal como se especifica en la CFISFL, 01.0.0. Corresponde a (04.1.1) y (14.1.0)."
13.2.1,Productos farmacéuticos,"- Tal como se especifica en CFISFL, 02.1.1. Corresponde a (06.1.1) y (14.2.1)."
13.2.2,Otros productos médicos,"- Tal como se especifica en CFISFL, 02.1.2. Corresponde a (06.1.2) y (14.2.2)."
13.2.3,Aparatos y equipo terapéuticos,"- Tal como se especifica en CFISFL, 02.1.3. Corresponde a (06.1.3) y (14.2.3)."
13.2.4,Servicios médicos ambulatorios,"- Tal como se especifica en CFISFL, 02.2.1. Corresponde a (06.2.1) y (14.2.4)."
13.2.5,Servicios dentales ambulatorios,"- Tal como se especifica en CFISFL, 02.2.2. Corresponde a (06.2.2) y (14.2.5)."
13.2.6,Servicios paramédicos ambulatorios,"- Tal como se especifica en CFISFL, 02.2.3. Corresponde a (06.2.3) y (14.2.6)."
13.2.7,Servicios hospitalarios,"- Tal como se especifica en CFISFL, 02.3.0. Corresponde a (06.3.0) y (14.2.7)."
13.2.8,Otros servicios de salud,"- Tal como se especifica en CFISFL, 02.4.0, 02.5.0 y 02.6.0."
13.3.1,Servicios recreativos y deportivos,"- Tal como se especifica en CFISFL, 03.1.0. Corresponde a (09.4.1) y (14.3.1)."
13.3.2,Servicios culturales,"- Tal como se especifica en CFISFL, 03.2.0. Corresponde a (09.4.2) y (14.3.2)."
13.4.1,Enseñanza preescolar y primaria,"- Tal como se especifica en la CFISFL, 04.1.0. Corresponde a (10.1.0) y (14.4.1)."
13.4.2,Enseñanza secundaria,"- Tal como se especifica en CFISFL, 04.2.0. Corresponde a (10.2.0) y (14.4.2)."
13.4.3,"Enseñanza postsecundaria, no terciaria","- Tal como se especifica en CFISFL, 04.3.0. Corresponde a (10.3.0) y (14.4.3)."
13.4.4,Enseñanza terciaria,"- Tal como se especifica en CFISFL, 04.4.0. Corresponde a (10.4.0) y (14.4.4)."
13.4.5,Enseñanza no atribuible a ningún nivel,"- Tal como se especifica en CFISFL, 04.5.0. Corresponde a (10.5.0) y (14.4.5)."
13.4.6,Otros servicios educativos,"- Tal como se especifica en CFISFL, 04.6.0 y 04.7.0."
13.5.0,Protección social,"- Tal como se especifica en CFISFL, 05.1.0 y 05.2.0. Corresponde a (12.4.0) y (14.5.0)."
13.6.1,Religión,"- Tal como se especifica en CFISFL, 06.0.0."
13.6.2,"Partidos políticos, organizaciones laborales y profesionales","- Tal como se especifica en CFISFL, 07.1.0, 07.2.0 y 07.3.0."
13.6.3,Protección ambiental,"- Tal como se especifica en CFISFL, 08.1.0 y 08.2.0."
13.6.4,Servicios n.e.p.,"- Tal como se especifica en CFISFL, 09.1.0 y 09.2.0."
14.1.0,Vivienda,"- Tal como se especifica en CFISFL, 10.6.0. Corresponde a (04.1.1) y (13.1.0)."
14.2.1,Productos farmacéuticos,"- Tal como se especifica en CFG, 07.1.1. Corresponde a (06.1.1) y a (13.2.1)."
14.2.2,Otros productos médicos,"- Tal como se especifica en CFG, 07.1.2. Corresponde a (06.1.2) y (13.2.2)."
14.2.3,Instrumentos y equipo terapéuticos,"- Tal como se especifica en CFG, 07.1.3. Corresponde a (06.1.3) y (13.2.3)."
14.2.4,Servicios médicos ambulatorios,"- Tal como se especifica en CFG, 07.2.1 y 07.2.2. Corresponde a (06.2.1) y (13.2.4)."
14.2.5,Servicios dentales ambulatorios,"- Tal como se especifica en CFG, 07.2.3. Corresponde a (06.2.2) y (13.2.5)."
14.2.6,Servicios paramédicos ambulatorios,"- Tal como se especifica en CFG, 07.2.4. Corresponde a (06.2.3) y (13.2.6)."
14.2.7,Servicios hospitalarios,"- Tal como se especifica en CFG, 07.3.1, 07.3.2, 07.3.3 y 07.3.4. Corresponde a (06.3.0) y (13.2.6)."
14.2.8,Servicios de salud pública,"- Tal como se especifica en CFG, 07.4.0."
14.3.1,Servicios recreativos y deportivos,"- Tal como se especifica en CFG, 08.1.0. Corresponde a (09.4.1) y (13.3.1)."
14.3.2,Servicios culturales,"- Tal como se especifica en CFG, 08.2.0. Corresponde a (09.4.2) y (13.3.2)."
14.4.1,Enseñanza preescolar y primaria,"- Tal como se especifica en CFG, 09.1.1 y 09.1.2. Corresponde a (10.1.0) y (13.4.1)."
14.4.2,Enseñanza secundaria,"- Tal como se especifica en CFG, 09.2.1 y 09.2.2. Corresponde a (10.2.0) y (13.4.2)."
14.4.3,"Enseñanza postsecundaria, no terciaria","- Tal como se especifica en CFG, 09.3.0. Corresponde a (10.3.0) y (13.4.3)."
14.4.4,Enseñanza terciaria,"- Tal como se especifica en CFG, 09.4.1 y 09.4.2. Corresponde a (10.4.0) y (13.4.4)."
14.4.5,Enseñanza no atribuible a ningún nivel,"- Tal como se especifica en CFG, 09.5.0. Corresponde a (10.5.0) y (13.4.5)."
14.4.6,Servicios subsidiarios de educación,"- Tal como se especifica en CFG, 09.6.0."
14.5.0,Protección social,"- Tal como se especifica en CFG, 10.1.1 a 10.5.0 y 10.7.0. Corresponde a (12.4.0) y (13.5.0)."
